name,movie
Hampton Fancher,Law of the Plainsman
Hampton Fancher,One Step Beyond
Hampton Fancher,77 Sunset Strip
Hampton Fancher,The Rifleman
Hampton Fancher,The Brain Eaters
Hampton Fancher,Maverick
Hampton Fancher,Perry Mason
Hampton Fancher,"Have Gun, Will Travel"
Hampton Fancher,Dick Powell's Zane Grey Theatre
Hampton Fancher,Cheyenne
Hampton Fancher,Death Valley Days
Hampton Fancher,2048: Nowhere to Run
Hampton Fancher,2036: Nexus Dawn
Hampton Fancher,The Minus Man
Hampton Fancher,The Mighty Quinn
Hampton Fancher,Blade Runner
Hampton Fancher,The Minus Man
Richard Yuricich,The Man Who Killed Hitler and Then the Bigfoot
Richard Yuricich,Non-Stop
Richard Yuricich,The Losers
Richard Yuricich,Whiteout
Richard Yuricich,Orphan
Richard Yuricich,The Reaping
Richard Yuricich,Resident Evil
Richard Yuricich,Event Horizon
Richard Yuricich,Under Siege 2: Dark Territory
Richard Yuricich,Ghost Dad
Richard Yuricich,Blade Runner
Richard Yuricich,Close Encounters of the Third Kind
Richard Yuricich,Brainstorm
Richard Yuricich,The Drowning Pool
Richard Yuricich,Idaho Transfer
Richard Yuricich,The Making of 'Event Horizon'
Richard Yuricich,On the Edge of 'Blade Runner'
Richard Yuricich,Brainstorm
Douglas Trumbull,The Tree of Life
Douglas Trumbull,Blade Runner
Douglas Trumbull,Star Trek: The Motion Picture
Douglas Trumbull,Close Encounters of the Third Kind
Douglas Trumbull,The Andromeda Strain
Douglas Trumbull,Candy
Douglas Trumbull,2001: A Space Odyssey
Douglas Trumbull,To the Moon and Beyond
Douglas Trumbull,In Search of Tomorrow
Douglas Trumbull,The Blade Runner Phenomenon
Douglas Trumbull,Natalie Wood: What Remains Behind
Douglas Trumbull,Trumbull Land
Douglas Trumbull,Chesley Bonestell: A Brush with the Future
Douglas Trumbull,The Real History of Science Fiction
Douglas Trumbull,Jodorowsky's Dune
Douglas Trumbull,Exploring 'The Tree of Life'
Douglas Trumbull,Dangerous Days: Making 'Blade Runner'
Douglas Trumbull,Vision of a Future Passed: The Prophecy of 2001
Douglas Trumbull,2001: FX and Early Conceptual Artwork
Douglas Trumbull,"""Silent Running' By DIrector Douglas Trumbull"
Douglas Trumbull,Douglas Trumbull: Then and Now
Douglas Trumbull,The Making of 'Close Encounters of the Third Kind'
Douglas Trumbull,Stanley Kubrick: A Life in Pictures
Douglas Trumbull,The Andromeda Strain: Making the Film
Douglas Trumbull,2001: The Making of a Myth
Douglas Trumbull,2001 and Beyond
Douglas Trumbull,On the Edge of 'Blade Runner'
Douglas Trumbull,Back to the Future... The Ride
Douglas Trumbull,The Making of Silent Running
Douglas Trumbull,UFOTOG
Douglas Trumbull,In Search of the Obelisk
Douglas Trumbull,Back to the Future... The Ride
